"","text"
"65"," versi error nya error order goride diemin kasian driver yg menunggu pdhl cancel sejam yg trz fitur error aneh tolong diperbaiki tambah "
"66"," anak sultan gak beli paket diskon ongkir lg help paket tersedia beli paket diskon ongkir perpanjang makin aneh "
"67","aplikasi mahalbiaya tambahan pesan food malam hujan ongkos mahal biaya nydriver plat motor atribut jarang pakai driver ugal ugalan membahayakan penumpang"
"68","kenapa update terbaru memesan jarak kesusahan ortu nggak memakai app online madiun ibu solo pesan jarak kecewa abang gojeknya ramah "
"69","driver nya membatalkan pesanan yg parah nya driver sengaja melewati mendiamkan chat jemput pesanan kabar apapun seharusnya driver yg beri pengurangan poin"
"70","awalnya aja pakai go ride aplikasi menunggu menit tp udah menit ga driver jugaa gak berubah"
"71","tolong dong atur sistem nya sudah bagus up saldo transaksi saldo go pay nya gak upgrade go pay plus tnya pusat bantuan jawaban nya "
"72","layanan bantuan dijawab bot keluhan bolak balik email dibalas nomor telepon tampilkan hapus data pertanggung jawaban privacy pengguna kalah ovo data yg dikumpulkan diminta data pengguna malah dijual data ktp perusahaan indonesia data pengguna indonesia diobral murah sampah "
"73"," driver pesan antar gofood driver cek aktif map memenunggu tiba status pesanan berubah driver tambah memenunggu pesanan tiba parahnya status berubah driver sibuk "
"74","tolong dong yg adil go food customer cancel driver seenaknya cancel parah menunggu driver yg ngambil cuma go food goride jg bener makin parah driver suka cancel seenaknya udah menunggu bgd cepat eh malah buang peforma nya makin menurun"
"75"," bug update gojek pas pembayaran merchant notifikasi internet mati pembayaran terproses scan terbayar alami "
"76","gopaylater bekukan pd nya bs jarang pakai tiba bekukan apapun lapor chat nya tdk memenuhi kriteria yg tingkatkan transaksi cek transaksi kah "
"77","berkali pesan gocar udah deket jaraknya gak kabar driver sampe menit tiba pas diliat map nya malah menjauh lokasi penjemputan gak ngerti deh giliran ditanya diambil engga malah sensi aplikasi driver kebanyakan kaya gitu maaf nih pindah aplikasi sebelah aja "
"78","tolong pelayanannya diperbaiki tiap transaksi order layanan loading ulang tetap habis diupdate jaringan sinyal pindah layanan sebelah "
"79"," turun kan bintang lambat pakai pembayaran scan app dana lancar"
"80"," saran buat gojek tolong perbaiki ui or frontend web mobile login mobile pop up descrollaron gojek mengakses no hp cust login sign up thx"
"81"," gmna sya kok aplikasinya gak diupdate versi terbarutetep gak tolong diberikan penjelasan knapa tolong berikan solusinya"
"82"," notip utk ajukan pay later pas ajuin eh tolakngapain nawarin bikin lelah ketak ketik sjini notip suruh aktipkan gopay later cicil as buka eh d aplikasi tertulis mohon maaf fasilitas tersedia sj mempermainkan konsumensaya pakai apks karya anak negerisekarang apks sy jd pake apks lgtetep ksh bintang "
"83"," upgrade gopay plus kenapa persulit berulang coba ga tolong bantu donk"
"84"," mahal susah utk order kendaraan nya driver nya jg gak jemput klu jarak tujuan nya tlg kasih tau driver nya"
"85","mohon diperjelaskn lg total biaya digopaylater krna dirugikan dalm pembelian pulsa gak dicamtumkn biaya admin y y detail tiba pembayaran coba cek tiba biaya gopaylater nya y gk ket nya maaf kasih bintang krna melyani mohon diteliti lg "
"86","awalnya cuma loading updata perubahan uninstall download malah masukan nomor loading sinyal bagus terbuka apk nya"
"87","sistemnya jelek menit ngebatin design ui ux gojek emang ga duanya ehhh pesan makanan malah server perbaiki fyi koneksi internet ku bagus pakai wifi ga kendala nyalahin costumer perbaiki aja server mu "
"88","makin makin gk aja aplikasi yg terdekat driver pas pesan goride malah yg banget yg nyantol sampe dibatalin drivernya ðÿ žðÿ žðÿ žðÿ žðÿ ž"
"89","aplikasi aneh ku promo diskon mirip grab ku download taraaa ku test beli resto jreng jreng nya cuma promo gratis ongkir potongan harga max rb aneh nya ku bedaiin promo ku total nya ku guyss v beli paket promo apaun alias murni ojek beda nya pengguna pengguna kalo iya aplikasi agak si "
"90","percuma dibuat menu pilihan orderan kalo disuruh bawa orderan inginkan contoh nya main layanan food menu gosend nya gak dimatiin layanan malah bikin performanya ancur gimana ngejar bonus"
"91"," transfer rekening bank kenapa statusnya pusat bantuan chat cs jawaban tolong jek uang transfer bank membutuhkan mending hilangkan sekalian transfer bank setidaknya pilihan membatalkan transaksinya menunggu aplikasi sebelah bank tujuan tolong perbaiki "
"92"," kesal gojek pesan drivernya bgt keseringan cancel drivernya mohon cari driver customer biar cepat nggak buang "
"93","pesan gocar harga berubah bagus up gopay pas transaksi biaya berubah seketika not recomended ngga standar yg ukuran jarak patokanya ramai sepi "
"94","permisi memberi tau update terbaru menemukan bug force close mengakses layanan insiden force close mempersulit user mengakses layanan harap bug perbaiki"
"95","aplikasi nya gak pakai loading nya banget login ulang gak loading aplikasi lancar "
"96","pengalaman buruk gocar driver order mengantar memenunggu menit kok tau driver membatalkan sepihak rugi menit biaya terlambat "
"97","tolong sistemnya perbaiki pake wifi pakai data kirim saldo keterangannya koneksi"
"98","aplikasinya kadang eror min udah dpt driver udh dichat berubah pesan dr dpt driver yg berbeda tolong min seringnya tiap hujan susah bngt cari driver udh berkali coba ttp driver sibuk tp tiap cuaca cepat dpt driver "
"99","aplikasi biasaa semangat upgrade pembaruan aplikasi ðÿ ðÿ ðÿ ðÿ  terimakasih aplikasi gojek aplikasi ter aman sih ðÿ ðÿ ðÿ ðÿ ðÿ "
"100","hallo gojek habis pembayaran bagusup my telkomsel saldo gopay x pembayaran keterangannya aps gojek bhilang tida koneksi internet coba transaksi terkirim terkirim permasalahnnya telkomsel menyedot pulsa dalamnya paket internet habis sangan menguntungkan koneksi internet "
"101","aplikasinya dibikin sok simple ambigu buat pesanan rame ga kepake ikon ikonnya sulit dmengerti dibedakan pesan ikonnya bulat panah fak yuh doang alamat pengirim penerima mondar mandir isi alamat layout nya balik aja si kan gojek ngelag ditambah iklan tokped yg otomatis klik sekalian aja pop up judi slot "
"102","aplikasi bagus bagus up game pesan makanan minuman coba aplikasi nya coba terbiasa kok walaupun awalâ sempat ragu buat pake gofood taku alamat pas coba gojek aplikasi mudah memesan transaksi apapun "
"103","kenapa cuma hp ku aja yg makai voucher smacamnya ga opsi kayak gitu hp ku yg tp hp udah nyoba hapus aplikasi gojek ã tetep ga dipencet voucher nya tp ga opsi nya "
"104","aplikasi menyebalkan masak wifi gak gk internet mulu tulisannya pesan susah gofood banget jadinya internet aktif kok disemua aplikasi gojek eror mulu"
"105","tolong sistem double order gofood hapus kan karna mbuat cs mmenunggu makanan dingin mementingkan keuntungan driver cuma ongkir order yg memenunggu antri buat mati kelaparan "
"106"," transaksi janggal ilegal gopay tibaâ nonaktifkan blokir alasan transaksi janggal aneh laporan tetap kekeh pernyatan sndri tau kecewa pakai gopay ewallet klo tau begini sistem nya"
"107","sangan mengecewakan berbulan make aplikasi lihat promo kesalahan mohon cobalagi relog update aplikasi sprti mohon bantuannya"
"108","kronologi pesan gocar trus batalkan karna driver bawa penumpang lah udah gitu banget oke batalkan pas pesan harga auto naik hahahaha titik jemput tujuan oh gitu lu mencari uang j ng "
"109","mohon bantuannya jd sy beli font galaxy font checkout gopay knp tdk notifikasinya transaksi sdh kadaluwarsa transaksi sdh terjd dlm bln mohon penjelasannya"
"110","ongkir mahal biaya aplikasi mahal promo nya kek t i belanja tp potongan dikit gak ngotak pesan makan gk driver trus stelah dipesan ulang biaya mencari driver nya wkwk kan aplikasimya yg gk dpat driver kok jd customer yg byar buat mencari driver nya"
"111"," pesan gocar hendak airport dr pesan gocar dr aplikasi drivernya lokasi driver tdk mengerti titik penjemputan baca maps akibatnya ketinggalan pesawat "
"112","makin menurun kualitas gojek memakai lokasi dijemput gojek alasan kamu gak dijemput titik udah ditempat dikit yg ngga tau sih entah krn peraturan driver cuman buruk bgt gaada kayak gini "
"113","tolong jelaskan kenapa saldo gopay terpotong bagus up game higs domino x tgl mei pkl rp tgl mei rp menonaktifkn layanan pembayaran playstore gojek memain kan game tiba tiba notifikasiikasi saldo terpotong tolong respon minta bantuan apk nyatidak live chat admin nya nyesek saldo lenyap uang segitu lumayan "
"114"," cerita aplikasi transfer bank verifikasinya nyoba bank ehh keterangannya verifikasi gak verifikasi makannya verifikasi menurun qualitasnya gak kaya kemarin yg pentingkan gojek aneh transfer aja susah"
"115","parah banget jangka pemesanan lamaa entah notifikasinya enggak aplikasi driver gapernah dibales sampe dibatalin karna tolong diperbaikin"
"116","hapus fitur driver rangkap orderan go food anter pesanan se arah bikin driver suka kasih makanan nya ketuker pesanan rangkapan nya"
"117","aplikasi petipu pesan go ride pake voucher gak alesan titik jemput udah geser titik penjemputan giliran pake hp gak pake voucher lancar klo gak niat kasih voucher gak usah dibikin rumit "
"118","kalo lg promo driver mobil nya malas malasan alasan yg jauhlah yg malem lah inilah itulah usahakan perekrutan driver benarâ yg jd konsumen gak kesulitan kalo mencari driver dlm kapanpun "
"119","gajelas banget tiba tiba notifikasi akun terblokir nggak penyebabnya lapor cs ditolak banding saldo lumayan malah kaya gini tolong dong sistem keamanan nya diperbaiki"
"120","kalo gocar penumpang tol tetep paksa tol driver tol yg bayar driver yg aplikasi nya driver bodong tolong perbaiki buat gofood nya biaya nya mahal yg berikan costumer pengguna"
"121","promo go food nya yg asalasalan udah dipilih pakai promo syarat dab ketentuan tetap aja asalasalan gak mohon goto cek kenapa sistem asalasalan yg terkecoh promo promo yg gak bikin kesal doang udah dikomplain cs malah dibenerin sistem nya malah voucher lumayan masak sy musti tiap order komplain voucher hadeeehhh cs no solution "
"122"," fitur gomart memilih toko keinginan customer alfamidi ditentukan gomart segala kosong barangnya kaya udah bangkrut aja kembalikan fitur memilih toko "
"123","kayak gimanasih daftar pake akun emailnya terdaftar padalan gak login pilih lupa nomor hp dipulihin gimana sih kok makin gak bagus gini"
"124","ditingkatkan dong penulisan alamat ditambahin nomor telepon penerima berkali pesan buat org blg chat penerima"
"125","kok aplikasi lambat cari resto cari makan bayar aja susah muter mulu kaya gak koneksi buka youtube jaringan lancar"
"126"," mengecewakan aplikasi memudahkan cepat biayanya mahal kenapa makin sini makin mahal ongkir cuma k kâ tempatnya ditambah biaya jasa aplikasi k beli makanan awalnya k membayar k ongkir biaya jasa aplikasi begini aplikasi kehilangan penggunanya "
"127","dibandingkan layanan serupa aplikasi gojek user friendly sayang ongkir gofood mahal banget promo diskonnya reward goclub diskon promonya anak sultan ngapain dipertahankan levelnya ye kan rewardnya konsumen cashback bentuknya coins nggak layanan nggak keburu habis buat bayar ongkir mahal "
"128"," dibhilang sistem rapelan merugikan terpaksa memenunggu pembeli susah dihubungi driver menit menunggu pembeli ketemu nganter pesanan harusnya sistem mengirim pembeli selanjutnya pembeli kendala case krn td nanya driver dy gk ngirim krn maps gk kebuka sblm terkirim yg standby pesan "
"129","jngan transfer penarikan saldo pakek dana narik uang aja kayak pinjol aja menunggu uang bagus up pas penarikan kayak pinjol aja menunggu aplikasi mempersulit mempermudah"
"130"," beli langganan gofood plus paket ongkir gofood g saldo terpotong mengajukan complain cuma ditanyain screenshot cuma telat menit pertanyaan customer servicenya kirim foto nya seharian udah ngga aja jawaban sampe gk dipake pdhl uangku betulan kepotong ratingnya bakal kuperbaiki seandainya rugi bgt "
"131","senang sih aplikasinya gopaynya gak usah pusing pusing emoney transaksi harian migrasi gopay bayar bensin pertamina pakai gopay shell senang banget gopaynya terintegrasi buat bayar parkir belanja indomaret bayar hotel beli tiket bioskop beli tiket pesawat even bs beli saham bagus dah "
"132","biaya layanan mahal drivernya makin nyaman makin ajar tarif dimainkan driverâ dgn sengaja sulit pencarian driver mengarahkan peningkatan pencarian otomatis biaya mahal "
"133","ni aplikasi maki kok makin gk dah pas bayar scan qris kode dikenali udah gua coba nya gua bagusan aplikasi dana gojek bug error masukin kode qr mulu udh bener tu anj"
"134","mapsnya ga update alamat pengantaran dipilih tp memesan malah berubah alamat yg update aplikasi seharusnya diskon malah jd biaya"
"135"," stasiun terminal mudah drivernya sayangnya desa kesulitan jarak desa km an driver nya mesti pesan dg driver yg sy "
"136"," gojek bagus promo go ride nya diskonnya kasihan pengguna go ride promo menarik andaikan promo goride potongan tiap pengguna go ride memesannya "
"137"," pesan gocar tp drivernya tiba cancel sy dpt info dr driver algoritma orderan jd acak karenakan aplikator tdk bonus driver yg main jarak pendek jdnya bbrp x dpt kasus yg sy alami bbrp x hrsnya dr aplikator situasi driver yg main jarak pendek orderan history driver tsb benahi customer tdk memenunggu "
"138","sistem bagus kebanyakan utak atik nadim yg pegang ancur promo aplikasi suka eror beban biaya pelanggan dll utak atik aja perubahan biaya lainâ aplikasi yakin bobrok fix"
"139"," menit pesan makanan gofood driver menghilang peta walau detik coba chat cs sana pilihan masalahnya menemukan pilihan sana pemesanan lihat driver peta chat ketik manual cs katakan masalahnya selesai "
"140","aplikasi kebijakan bermutu tanggapan keluhan ditangani bot laporan terselesaikan promo pelayanan buruk semoga bertahan uninstall"
"141"," berkali transfer dr gopay rek bank tp knpa skrg ga ktnya gopay plus bermasalah payah biaya layanan bgt tiap pesan gofood beli paket hemat ongkir yg utk utk x pemesanan skrg disuruh beli yg rb eh malah yg ber tag gofoodplus doang lah sy resto favorit ga tag nya jd percuma aja beli paket itukrna resto favorit sy buka gofood plus rugi menyesal "
"142"," bagus up istilah saldo blm ketahan sampe d balikin itupun laporan berkali berkali tetep aja penangananya lambat bagus up ga bukti sukses bagus up udah d kirim tetep aja menunggu gmn ceritanya uang nyangkut gtu penangananya ampun ampun kapok kapok kalow gangguan minimal harusnya d kasih pemberitahuan sampe uang pending nyangkut"
"143","harganya gila an minim promo promo yg diinginkan diestimasi biayanya pengguna sungguh kecewa menguntungkan mitranya "
"144"," beli langganan paket buat gratis ongkir gofood ekh pas yg langganan iming imingi langganan harga k an paket nya gak guna toko x favorit apaan gak yg gw favoritin menyesal perpanjang paket langganan yg gak berguna "
"145","entah udh brp x stiap pesan tuh final alamatnya jd gg pdhal udh setting alamat tp pas pesan malah jd alamat malah chat drivernya gg baca kalo titik mapnya ujungnya sy marahin abis an sumpah harga sy terluka banget gg ngomong pelan kecewa sy harap drivernya tolong liat chat dlu percaya titik lokasinya map beda bgt yg sebelah drivernya chat duluan udah titik "
"146","udah abis nih uang investor ngerasain goclub anak sultan cuma benefit tiba tiba aja nghilang tiap cashback rb turun rb ga tau hilang aja benefit langganan gofood plus dihapus udah ga faedahnya pake gojek aplikasi ramah rumahnya pusat gofood plus meringankan ongkir hilang langganan yaudah bye "
"147"," gak ngerti sm gojek make sehari tp sy batalkan pesanan saldo jg ikutan d potong mksdnya gmn pencurian ap gmn kok begini gk recomend lg sih kecewa ditambah lg promo sdh gk bener d tarif yg mahal gk akal "
"148"," mula ga kenapaâ eh kok tibaâ buka apk nya muterâ mulu sampeâ order transaksi muterâ mulu cek play store tulisannya update yaudah tekan update siapa tau normal ehhhh kok aja malah makin kuota cekga tolong diperbaiki kalao engga tetep bintang bakalan uninstall apk apk "
"149","makin parah aplikasinya driver gocar ngecancel susah dapet aplikasi sebelah dpt order jarang banget cancel rekor banget x cancel orderan gamau "
"150"," complain mudah rumit customer complain cs siti hasidah main tutup klick pesan tanggapan resto tiba tiba restonya tutup malam profesional melayani customer baiknya jualan off line pelayanan buruk "
"151","sepanjang performa nya bagus dapet pengalaman buruk dri driver mohon merekrut driver perhatikan pekerjakan melayani penumpang terminal pesan gojek malah katain trus cancel driver agak kesesat terminal kalo driver ga menunggu cancel aja ga katain aja semoga nya ðÿ "
"152","apk bgt yapdhl uda updatesinyal stabilmau ntah order gofood gocarsusahhp cm layar putih doangmakin ksini makin bad ga kyk dlu malem order makanan sampe resto tutuphadehapk ga guna kmrin gtu plg naik kreta pesan gocarapk lambattlong perbaiki order aja menunggu stengah bru bsapdhl buat buka apk lancar"
